Klient: /127.0.0.1 55576 Wynik: 4 Odpowiedzi: A, , A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56633 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56537 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56405 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56526 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56547 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56522 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56555 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56560 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56563 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56566 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56567 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56573 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56571 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56574 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56570 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56578 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56582 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56583 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56593 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56595 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56606 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56603 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56613 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56608 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56610 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56616 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56623 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56624 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56540 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56625 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56628 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56631 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56636 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56637 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56508 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56553 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56569 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56558 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56572 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56577 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56584 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56589 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56581 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56580 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56605 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56620 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56627 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56542 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56548 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56568 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56585 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56586 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56600 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56579 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56604 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56635 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56622 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56576 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56597 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56607 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56657 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56693 Wynik: 3 Odpowiedzi: C, C, C, C, C, C, C, C, C, C, 
Klient: /127.0.0.1 56767 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
